,代码,总股本,最新价,总市值,排名
3619,300478,126673000.0,8.63,1093187990.0,1.0
2076,600768,133747200.0,8.55,1143538560.0,2.0
2903,603709,125928400.0,9.41,1184986244.0,3.0
428,001211,72000000.0,16.48,1186560000.0,4.0
3979,300854,101088500.0,12.52,1265628020.0,5.0
1845,600493,272000000.0,4.71,1281120000.0,6.0
1818,600455,62458000.0,20.6,1286634800.0,7.0
4113,300995,84160000.0,15.46,1301113600.0,8.0
1585,600137,97217588.0,13.53,1315353965.6399999,9.0
4023,300899,63783466.0,20.75,1323506919.5,10.0
691,002188,292538575.0,4.63,1354453602.25,11.0
191,000638,311386551.0,4.39,1366986958.8899999,12.0
3559,300417,134563200.0,10.18,1369853376.0,13.0
2493,603022,200000000.0,6.91,1382000000.0,14.0
492,001336,80373500.0,17.33,1392872754.9999998,15.0
4406,301336,40000000.0,34.83,1393200000.0,16.0
793,002295,250616000.0,5.72,1433523520.0,17.0
4128,301010,108000000.0,13.51,1459080000.0,18.0
4074,300955,100800000.0,14.48,1459584000.0,19.0
3472,300321,88800000.0,16.64,1477632000.0,20.0
2598,603159,140000000.0,10.57,1479800000.0,21.0
1283,002830,133340000.0,11.2,1493408000.0,22.0
1304,002853,186542748.0,8.02,1496072838.96,23.0
3776,300640,312452427.0,4.79,1496647125.33,24.0
4144,301027,147861140.0,10.13,1497833348.2,25.0
4010,300886,74555000.0,20.11,1499301050.0,26.0
1455,003017,84000000.0,17.85,1499400000.0000002,27.0
4053,300931,240146000.0,6.28,1508116880.0,28.0
2174,600883,236088000.0,6.39,1508602320.0,29.0
3850,300717,102775000.0,14.75,1515931250.0,30.0
2513,603045,135445155.0,11.2,1516985736.0,31.0
452,001259,73588888.0,20.67,1521082314.96,32.0
3838,300703,180391840.0,8.5,1533330640.0,33.0
2550,603090,100000000.0,15.43,1543000000.0,34.0
4171,301057,117390438.0,13.23,1553075494.74,35.0
4001,300877,120000000.0,12.95,1554000000.0,36.0
4110,300992,90800169.0,17.12,1554498893.28,37.0
4208,301098,177585473.0,8.77,1557424598.21,38.0
444,001231,100000000.0,15.6,1560000000.0,39.0
4238,301131,47780000.0,32.72,1563361600.0,40.0
4291,301198,169000000.0,9.26,1564940000.0,41.0
4068,300948,140028865.0,11.2,1568323288.0,42.0
1442,003003,176798300.0,8.89,1571736887.0,43.0
1238,002780,157587486.0,10.01,1577450734.86,44.0
322,000856,227000000.0,6.95,1577650000.0,45.0
